time	V(vout)
5.000000000000000e-03	9.933492e-02
Step Information: Run=139  (Step: 139/1000)
0.000000000000000e+00	1.087900e-01
4.885901307349554e-03	1.087900e-01
4.998205994849551e-03	1.087900e-01
5.000000000000000e-03	1.087900e-01
Step Information: Run=140  (Step: 140/1000)
0.000000000000000e+00	9.869354e-02
4.885901307349554e-03	9.869354e-02
4.998205994849551e-03	9.869354e-02
5.000000000000000e-03	9.869354e-02
Step Information: Run=141  (Step: 141/1000)
0.000000000000000e+00	8.788967e-02
4.885901307349554e-03	8.788967e-02
4.998205994849551e-03	8.788967e-02
5.000000000000000e-03	8.788967e-02
Step Information: Run=142  (Step: 142/1000)
0.000000000000000e+00	8.598986e-02
4.885901307349554e-03	8.598986e-02
4.998205994849551e-03	8.598986e-02
5.000000000000000e-03	8.598986e-02
Step Information: Run=143  (Step: 143/1000)
0.000000000000000e+00	9.836107e-02
4.885901307349554e-03	9.836107e-02
4.998205994849551e-03	9.836107e-02
5.000000000000000e-03	9.836107e-02
Step Information: Run=144  (Step: 144/1000)
0.000000000000000e+00	9.170622e-02
4.885901307349554e-03	9.170622e-02
4.998205994849551e-03	9.170622e-02
